Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,Total_Time,I2C_Read_Time,Filter_Time,Units
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.256470,1.239100,-0.017370,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240120,1.237630,-0.002490,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.242500,1.239650,-0.002850,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239030,1.236660,-0.002370,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.249660,1.246760,-0.002900,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.241690,1.239180,-0.002510,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239880,1.237170,-0.002710,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238680,1.236380,-0.002300,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238460,1.236110,-0.002350,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238250,1.235920,-0.002330,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239700,1.237250,-0.002450,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239250,1.236950,-0.002300,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.248660,1.246300,-0.002360,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238980,1.236620,-0.002360,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.242780,1.240410,-0.002370,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240480,1.238180,-0.002300,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240760,1.238290,-0.002470,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240090,1.237760,-0.002330,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239560,1.237140,-0.002420,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239150,1.236830,-0.002320,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240620,1.238270,-0.002350,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238870,1.236530,-0.002340,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239110,1.236740,-0.002370,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239580,1.237270,-0.002310,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240560,1.238230,-0.002330,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240820,1.238480,-0.002340,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.244880,1.242300,-0.002580,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239880,1.237500,-0.002380,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240250,1.237910,-0.002340,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239180,1.236850,-0.002330,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239560,1.237170,-0.002390,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238170,1.235790,-0.002380,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238920,1.236550,-0.002370,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238150,1.235760,-0.002390,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239370,1.236930,-0.002440,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238870,1.236510,-0.002360,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240520,1.238190,-0.002330,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238630,1.236290,-0.002340,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239210,1.236820,-0.002390,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238330,1.236020,-0.002310,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240240,1.237810,-0.002430,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238680,1.236320,-0.002360,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.239010,1.236700,-0.002310,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.238150,1.235780,-0.002370,msec
Jan  1 00:01:20 de1soclinux my_first_hps: CPU_timing,1.240360,1.237990,-0.002370,msec
