Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,Total_Time,I2C_Read_Time,Filter_Time,Units
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.255200,1.237240,0.017960,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.244760,1.238650,0.006110,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.243540,1.237030,0.006510,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242070,1.235960,0.006110,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.244900,1.238530,0.006370,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242380,1.236100,0.006280,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.243000,1.236680,0.006320,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242580,1.236370,0.006210,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.241670,1.235490,0.006180,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242510,1.236410,0.006100,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242860,1.236740,0.006120,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242150,1.236030,0.006120,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242380,1.236280,0.006100,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242160,1.236070,0.006090,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.246860,1.240580,0.006280,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242350,1.236150,0.006200,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.241890,1.235820,0.006070,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242150,1.236010,0.006140,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.243090,1.237060,0.006030,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.241430,1.235380,0.006050,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242610,1.236420,0.006190,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242340,1.236180,0.006160,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.244580,1.238340,0.006240,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.242020,1.235960,0.006060,msec
Jan  1 00:03:48 de1soclinux my_first_hps: CPU_timing,1.241520,1.235380,0.006140,msec
