Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,Total_Time,I2C_Read_Time,Filter_Time,Units
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.267240,1.237200,0.030040,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.243780,1.240790,0.002990,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.240710,1.237510,0.003200,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.240700,1.237420,0.003280,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.239980,1.236470,0.003510,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.243230,1.239460,0.003770,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.240810,1.236720,0.004090,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.254850,1.250330,0.004520,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.243440,1.238590,0.004850,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.242180,1.237660,0.004520,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241090,1.236620,0.004470,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241740,1.237130,0.004610,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241080,1.236540,0.004540,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241860,1.237230,0.004630,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.242650,1.237850,0.004800,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.242660,1.237870,0.004790,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241390,1.236660,0.004730,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.242400,1.237660,0.004740,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241550,1.237100,0.004450,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.249600,1.244620,0.004980,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.242400,1.237670,0.004730,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.242250,1.237700,0.004550,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.249950,1.245370,0.004580,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.242790,1.238060,0.004730,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241850,1.237150,0.004700,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.242950,1.238190,0.004760,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241120,1.236310,0.004810,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241940,1.237390,0.004550,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.241330,1.236810,0.004520,msec
Jan  1 00:00:59 de1soclinux my_first_hps: CPU_timing,1.243040,1.238550,0.004490,msec
