Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,Raw_Data,Filtered_Data,Units
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,0,0,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-8,-1,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,0,-2,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-8,-2,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-4,-3,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-8,-4,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-4,-5,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-4,-6,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-4,-7,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-28,-7,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-120,-10,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-252,-25,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-288,-56,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-332,-91,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-356,-132,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-320,-176,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-120,-215,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,20,-229,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,184,-223,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,284,-185,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,388,-118,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,436,-34,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,456,62,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,456,164,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,444,261,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,440,331,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,264,384,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,0,394,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-344,359,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-384,268,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,136,166,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,360,126,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,112,114,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-448,73,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-96,-38,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,296,-83,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,312,-46,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-124,36,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-376,68,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,104,4,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,372,-28,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,80,4,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-76,70,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-100,72,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-224,22,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-312,-45,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-120,-68,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,112,-36,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,304,-35,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,348,-43,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,196,-10,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-76,24,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-236,27,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-80,25,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,104,54,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,256,82,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,320,100,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,216,102,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,12,86,mg
Jan  1 00:01:08 de1soclinux my_first_hps: FPGA_results,-232,63,mg
