Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,Total_Time,Req_Write,Ack_Receive,nReq_Write,Final_Read,Units
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.011040,0.006740,0.002010,0.001170,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006180,0.002080,0.001840,0.001140,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006210,0.002110,0.001830,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006010,0.001950,0.001790,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.005970,0.001870,0.001840,0.001140,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006030,0.001950,0.001800,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006210,0.002090,0.001840,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.005970,0.001900,0.001790,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.005960,0.001920,0.001760,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006040,0.001920,0.001830,0.001150,0.001140,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006090,0.002010,0.001810,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006070,0.001950,0.001840,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006050,0.001930,0.001850,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006000,0.001930,0.001790,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006100,0.002010,0.001810,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006000,0.001950,0.001780,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006020,0.001930,0.001810,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006020,0.001930,0.001810,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006090,0.001940,0.001880,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006030,0.001960,0.001800,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006200,0.002040,0.001860,0.001180,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006140,0.002050,0.001810,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006140,0.002020,0.001850,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006150,0.002020,0.001850,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.005960,0.001980,0.001680,0.001160,0.001140,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006010,0.001940,0.001800,0.001150,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006010,0.001960,0.001770,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006090,0.001960,0.001780,0.001180,0.001170,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006140,0.001970,0.001890,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.005930,0.001910,0.001740,0.001160,0.001120,msec
Jan  1 00:01:20 de1soclinux my_first_hps: FPGA_timing,0.006030,0.001980,0.001780,0.001150,0.001120,msec
